obs,Ranid,ACTION_REASON,EMPLOYEE_END_DATE,ATTRITION_TYPE,RANID_CC,FTE,Most_Recent_Hire_Date,Org_Level_2_Description,Date_of_Export,Country_Description,R1_Tenure,R24_Geographic_Unit,R25_Last_Promotion_Date,R25_months_Last_Promotion_Date,R2_Industry_Alignment,R30_Designation_level,R4_Age,R8_Experienced_Hire,R9_Gender,r26_months_at_level,R28_RANID_CC,R45_cc_ind,Primary_Capability_Description1,Org_Level_1_Description,cnt_councelees,R34_Salary_Peer_Comp,R41_pctle_salary,R46_MAL_vs_Avg_MAL,R6M6_Change_cc_ind,R6M8_Org_unit_ind,R6M9_loc_Org_Key_ind,R12M6_Change_cc_ind,R12M8_Org_unit_ind,R12M10_pct_hike,R12M11_hike_vs_avghike,R18M6_Change_cc_ind,R18M8_Org_unit_ind,R18M9_loc_Org_Key_ind,AVG_TRAIN_6,AVG_HRS_6,AVG_CLASS_6,AVG_CLASS_HRS_6,AVG_ONLINE_6,AVG_ONLINE_HRS_6,AVG_Tech_6,AVG_Tech_HRS_6,AVG_Professional_6,AVG_Professional_HRS_6,AVG_non_Mandate_6,AVG_non_Mandate_HRS_6,AVG_TRAIN_12,AVG_HRS_12,AVG_CLASS_12,AVG_CLASS_HRS_12,AVG_ONLINE_12,AVG_ONLINE_HRS_12,AVG_VIRTUAL_12,AVG_VIRTUAL_HRS_12,AVG_non_Mandate_12,AVG_non_Mandate_HRS_12,TR5_avg_TRAIN_6to12M,TR10_avg_HRS_TRAIN_6to12M,TR15_NUM_CLASS_TRAIN_6to12M,TR20_HRS_CLASS_TRAIN_6to12M,TR5_avg_TRAIN_3to6M,TR10_avg_HRS_TRAIN_3to6M,TR15_NUM_CLASS_TRAIN_3to6M,TR20_HRS_CLASS_TRAIN_3to6M,AVG_CLASS_12_Train,AVG_ONLINE_12_Train,AVG_TRAIN_12_Train,AVG_TRAVEL_6,MTHS_TRAVEL_6,tot_days_travel_6,AVG_TRAVEL_12,MTHS_TRAVEL_12,tot_days_travel_12,RC1_TRAVEL_ratio_3to6M,success_6,diamond_6,success_rate_6,success_rate_diamond_6,failure_rate_diamond_6,success_12,diamond_12,success_rate_12,success_rate_diamond_12,failure_rate_diamond_12,R1_24M10_pct_hike,R13_24M10_pct_hike,avg_pct_hike1,R13_24M11_hike_vs_avghike,avg_pct_hike2,Avg_hike_last_2_yrs,hike_com,hike_com_abs,AVG_AWARDS_6,AVG_AWARDS_12,RC1_awards_ratio_3to6M,RC1_points_ratio_3to6M,RC1_awards_ratio_6to12M,RC1_points_ratio_6to12M,Bonus_Pct_Peer_Comp_new,diff_cn_6,APA_PCT_6,BUD_PCT_6,CHG_PCT_6,PDR_PCT_6,SUT_PCT_6,diff_cn_12,APA_PCT_12,BUD_PCT_12,CHG_PCT_12,MKI_PCT_12,PDR_PCT_12,SUT_PCT_12,Ne_grad,Ugrad_only_ind,deg_ind,no_of_jobs,avg_exp,min_exp,max_exp,tenure.calc,Tenure,MAL,CurrentTeneure,key_talent_flag,key_talent_description,time_at_level,LOA_Status,Career_Track,Org_Level_3_Description,Name_of_Employee_Subgroup,time_at_level_grp,BP.vs.Country,TTC.vs.Country,BP.vs.Country_GRP,TTC.vs.Country_GRP,Talent.Decision_Fy17,Recognize.distinctive.achievement_Fy17,Recognize.talent.priority_Fy17,Future.Promotion_Review.within.12.months_Fy17,Talent.Discussion.Status_Fy17,DTE,Age_group,pctle_Bonus_new,bonus_12_1,MAL_vs_Avg_MAL,AVG_MAL,R32_MAL_vs_Avg_MAL_age,R43_lvl_promotion,DIFF_GIVERS_18,Overall_Experience,Award_given_3month,Award_given_6month,Award_given_12month,promotion_ready_Not_Promoted,Last_Promotion_Date_before_leave,LOA_Last_12Months,Tenure_CC.SV,teamsize_ccsv,attr_pcnt_ccsv,attrition_rate_peer,attrition_rate_skill
1,81818830,Unmanaged-MutualAgreemnt-LEGAL,9/25/2018,Unmanaged,81870272,1,7/12/2001,PRD North America OU,4/30/2018,USA,201,United States,12/1/2016,16,Operating Groups,Senior Manager,40,No,Male,16,81870272,Assigned,Program Project Mgmt,Products,0,Above,78,0.571428571,1,1,1,1,3,0,Better,1,3,2,0.333333333,4.916666667,0.333333333,4.916666667,0.166666667,0.083333333,0,0,0,0,0.333333333,4.916666667,0.416666667,3.958333333,0.25,3.791666667,0.166666667,0.166666667,0,0,0.333333333,3.875,0.8,1.242105263,1.333333333,1.296703297,0,0,0,0,3,2,6,2.166666667,1,27,2,1,51,0.769230769,3,2,0.454545455,0.4,0.6,4.6,3.6,0.461538462,0.416666667,0.583333333,0,0,5,No Hike,5,0,Worse,Same,0,0,0,0,0,0,Below,7,0.162790698,0.569444444,0.430555556,0,0,10.6,0.122605364,0.601528384,0.387554585,0,0.010917031,0,0,1,1,0,0,0,0,207,48above,12_24,48above,Yes,KeyTalent PA,0,Not on Leave,Innovation & Thought Leadership,PRD NA Midwest,Manager,Others,11.43,16,Above market,Above market,Continue to grow and learn,NA,X,X,Complete,OG,Gen X,7.42,6000,1.126760563,28,Overdue,0.740924092,0,18,0,0,0,Promo_ready_not_promoted,12/1/2016,Not on Leave,307,4,0,0.147744175,0.059701493
2,81831717,Unmgd-CareerOption/Opportunity,2/15/2019,Unmanaged,85179668,1,6/5/2000,Advanced Technology Centers,9/30/2018,USA,219,United States,12/1/2014,45,Growth Platforms,Senior Manager,41,No,Male,46,85179668,Assigned,Microsoft Platform,Accenture Technology,6,Below,16.716,1.352941176,1,1,1,1,1,0,Better,1,1,1,1,0.3,0,0,1,0.3,0,0,0,0,1,0.3,0.666666667,0.225,0,0,0.666666667,0.183333333,0,0,0.5,0.15,1.5,1.636363636,0,0,0,0,0,0,0,12,12,0.166666667,4,6,0.083333333,5,6,-29997,1,0,1,0,0,1,0,1,0,0,2,2,3,Worse,3,1,Worse,Worse,0,0,0,0,0,0,NA,2,0.083491461,0,0.958592133,0,0,2,0.101271785,0,0.979035639,0,0,0,0,0,0,0,0,0,0,225,48above,36_48,48above,No,NA,0,Not on Leave,Client Delivery & Operations,ATC - Philippines,Manager,Others,-20.21,-21.52,Significantly behind market,Significantly behind market,Continue to grow and learn,NA,NA,NA,Complete,Accenture Technology,Gen X,0,0,1.154929577,34,Overdue,0.759516346,0,19,0,0,0,NA,NA,Not on Leave,132,13,7.7,0.136468029,0.096866097
3,81834846,Voluntary,2/28/2019,Unmanaged,81871701,1,5/2/1994,Human Resources,9/30/2018,USA,232.4,United States,6/1/2015,39,Corporate Functions,Senior Manager,57,No,Male,40,81871701,Assigned,Human Resources,Corporate Functions,3,Above,69.415,1.176470588,1,1,1,1,1,0,Better,2,1,1,3.333333333,27.17,1.166666667,20,1.833333333,1.05,0.5,12,0,0,3.333333333,27.17,2.166666667,16.28333333,0.858333333,13.61666667,1.166666667,0.575,0,0,2,16.25,1.538461538,1.671443193,1.5,1.665782493,1,1.328842621,1.111111111,1.324840764,4,12,13,0,0,0,0.25,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,No Hike,3,0,Worse,Same,0,0.083333333,0,0,-119988,0,NA,1,0.196564886,0,0,0.190504992,0,1,0.149425287,0,0,0,0.223988077,0,1,0,1,0,0,0,0,238.4,48above,36_48,48above,No,NA,0,Not on Leave,Corporate Function,COEs,Manager,Others,5.02,3.93,Well positioned to market,Well positioned to market,Continue to grow and learn,NA,NA,NA,Complete,Corporate Functions,Baby Boomers,0,0,1.605633803,34,Overdue,0.81861013,1,35,0,0,0,NA,NA,Not on Leave,230,10,0,0.093567251,0.051446945
4,81838087,Unmanaged-Supervisors,3/29/2019,Unmanaged,85386428,1,12/14/2000,Technology Geographic Unit,10/31/2018,USA,214,United States,3/1/2012,79,Growth Platforms,Senior Manager,45,No,Male,80,85386428,Assigned,SAP,Accenture Technology,4,Below,27.525,2.285714286,1,2,1,1,2,0,Better,1,2,1,4.333333333,27.1,0.5,20,3.833333333,5.363333333,1.166666667,17.33333333,0.166666667,2.666666667,4.333333333,27.1,3.716666667,16.62333333,0.416666667,13.125,3,3.356666667,0,0,3.466666667,16.44833333,1.083333333,1.601181684,1.2,1.625396825,0.846153846,0.104551046,0,0,4,12,13,2.5,0,72,2.5,0,137,0.8,0,0,0,0,0,0,0,0,0,0,0,0,4,No Hike,3,0,Worse,Same,0,0,0,0,0,0,NA,2,0.159090909,0,0.981981982,0.018018018,0,2,0.13697318,0,0.991120977,0,0.008879023,0,0,1,1,0,0,0,0,220,48above,60above,48above,No,NA,0,Not on Leave,Client Delivery & Operations,Intelligent Platform Services,Manager,Others,-16.2,-17.94,Significantly behind market,Significantly behind market,Improve performance,NA,NA,NA,Complete,Accenture Technology,Gen X,0,0,1.267605634,35,Overdue,0.755029057,0,23,0,0,0,NA,NA,Not on Leave,129,8,12.5,0.132108539,0.11050814
5,81839322,Unmanaged-Nature of work,11/15/2018,Unmanaged,85752615,1,7/17/1995,Delivery,6/30/2018,USA,165.1,United States,9/1/2000,78.95,Growth Platforms,Manager,49,No,Male,81.85,85752615,Assigned,Infrastructure Archs.,Accenture Operations,0,Below,39.378,2.728333333,1,1,1,1,1,0,Better,2,1,2,2.166666667,3.233333333,0.333333333,2.666666667,1.833333333,0.566666667,0,0,0,0,2.166666667,3.233333333,3.166666667,5.725,0.416666667,4.166666667,2.75,1.558333333,0,0,2.916666667,5.608333333,0.684210526,0.564774381,0.8,0.64,1.846153846,1.989690722,2,2,4,12,13,0.333333333,0,6,0.166666667,0,6,1,0,1,0,0,1,1,1,0.5,0,1,2,2,3,Worse,3,1,Worse,Worse,0,0,0,0,0,0,NA,2,0.071078431,0,0.693051891,0,0,3,0.085537919,0,0.81509161,0,0.006509161,0,1,0,1,0,0,0,0,171.1,48above,60above,48above,No,NA,0,Not on Leave,Client Delivery & Operations,SDO,Manager,Others,-17.69,-12.41,Significantly behind market,Behind market,Improve performance,NA,NA,NA,Complete,Accenture Operations,Gen X,0,0,1.555555556,30,Overdue,0.62308478,0,27,0,0,0,NA,12/1/2016,Not on Leave,119,10,0,0.153294101,0.067226891
6,81842224,Do Not Use(Umgd-Perso reasons),9/6/2018,Unmanaged,82323235,1,9/13/1999,Technology Geographic Unit,4/30/2018,USA,223,United States,12/1/2016,16,Growth Platforms,Senior Manager,42,No,Male,16,82323235,Assigned,Oracle,Accenture Technology,5,Above,43,0.571428571,1,1,1,1,1,0,Better,1,2,1,0.5,5.25,0.5,5.25,0.166666667,0.083333333,0,0,0,0,0.5,5.25,1.5,5.5,0.583333333,4.208333333,0.916666667,1.291666667,0,0,1.416666667,5.416666667,0.333333333,0.954545455,0.857142857,1.247524752,0,0,0,0,4,12,13,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,5,5,2,Better,3,2.5,Worse,Worse,0,0,0,0,0,0,NA,2,0.201550388,0.099514563,0.900485437,0,0,2,0.166666667,0.047126437,0.948275862,0,0.004597701,0,0,1,1,0,0,0,0,229,48above,12_24,48above,No,NA,0,Not on Leave,Client Delivery & Operations,AO Contract Based,Manager,Others,-13.55,-8.62,Behind market,Well positioned to market,Continue to grow and learn,NA,NA,NA,Complete,Accenture Technology,Gen X,0,0,1.183098592,28,Overdue,0.775022143,0,20,0,0,0,NA,9/1/2013,Not on Leave,226,11,9.1,0.127255116,0.109191431
7,81864150,Unmanaged-Relocation/Moving,1/31/2019,Unmanaged,81859561,1,7/26/2017,Technology Geographic Unit,8/31/2018,USA,13,United States,4/1/2012,76,Growth Platforms,Senior Manager,47,Yes,Male,13,81862513.4,Assigned,SAP,Accenture Technology,0,Above,47.904,0.393939394,1,1,1,1,1,0,Better,1,1,1,4.833333333,3.633333333,0,0,4.5,3.633333333,1.6,2.4,0,0,4.666666667,3.5,2.75,2.083333333,0.083333333,0.125,2.666666667,1.958333333,0,0,2.5,1.891666667,1.757575758,1.744,0,0,1.517241379,1.743119266,0,0,1,12,13,0.166666667,1,1,0.083333333,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,3,0,NA,NA,0,0,0,0,0,0,NA,2,0.113636364,0.002136752,0.997863248,0,0,2,0.102564103,0.001020408,0.997013339,0,0.000510204,0,0,1,1,0,0,0,0,19,12_24,12_24,12_24,No,NA,0,Not on Leave,Client Delivery & Operations,Industry,Manager,Others,-8.52,-10.43,Well positioned to market,Behind market,Continue to grow and learn,NA,NA,NA,Complete,Accenture Technology,Gen X,0,0,1.323943662,33,Overdue,0.758940397,0,25,1,1,1,NA,NA,Not on Leave,333,13,0,0.138259977,0.100647733
8,81869028,Voluntary,9/12/2018,Unmanaged,84807988,1,11/17/1997,Information Security,4/30/2018,USA,165.1,United States,1/1/2011,78.95,Corporate Functions,Manager,56,No,Male,81.85,84807988,Assigned,Security Consulting & Imp,Corporate Functions,4,Below,15,2.728333333,1,1,1,2,1,0,Better,2,1,2,1.5,0.433333333,0,0,1.5,0.433333333,0,0,0,0,1.333333333,0.4,1,1.075,0.166666667,0.833333333,0.833333333,0.241666667,0,0,0.916666667,1.058333333,1.5,0.403100775,0,0,1.333333333,1.076923077,0,0,2,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,No Hike,2,0,Worse,Same,0,0,0,0,0,0,NA,1,0.153100775,0,0.981693364,0.018306636,0,1,0.144636015,0,0.991041433,0,0.008958567,0,0,1,1,0,0,0,0,171.1,48above,60above,48above,No,NA,0,Not on Leave,Corporate Function,Headcount,Manager,Others,-13.81,-14.37,Behind market,Behind market,Continue to grow and learn,NA,NA,NA,Complete,Corporate Functions,Baby Boomers,0,0,1.777777778,28,Overdue,0.757028112,0,34,1,2,3,NA,12/1/2014,Not on Leave,133,10,8.3,0.103875969,0.05
9,81876856,Unmgd-CareerOption/Opportunity,9/21/2018,Unmanaged,81834683,1,7/10/1996,Global CIO,4/30/2018,USA,232.4,United States,9/1/2003,95,Corporate Functions,Senior Manager,46,No,Female,101,81862513.4,Assigned,Business App Delivery,Corporate Functions,3,Above,50,3.35,1,1,1,1,1,0,Better,1,1,2,1.833333333,1.483333333,0.166666667,0.416666667,1.666666667,1.066666667,0,0,0.166666667,0.333333333,1.833333333,1.483333333,1.75,1.883333333,0.25,1.041666667,1.5,0.841666667,0,0,1.5,1.808333333,1.047619048,0.787610619,0.666666667,0.4,0.727272727,0.808988764,2,2,3,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,No Hike,3,0,Worse,Same,0,0,0,0,0,0,NA,1,0.172056921,0,0.98671875,0.01328125,0,1,0.200446144,0,0.989637306,0,0.010362694,0,1,0,1,0,0,0,0,238.4,48above,60above,48above,No,NA,0,Not on Leave,Corporate Function,"CIO Program, Project & Service Mgmt",Manager,Others,0,0,NA,NA,Continue to grow and learn,NA,NA,NA,Complete,Corporate Functions,Gen X,0,0,1.295774648,28,Overdue,0.81861013,0,24,1,1,4,NA,9/1/2013,On Leave,327,12,0,0.103875969,0.071942446
10,81878907,Unmgd-CareerOption/Opportunity,3/29/2019,Unmanaged,82159788,1,2/17/1992,Technology Innovation and Ecosystem,10/31/2018,USA,232.4,United States,12/1/2016,22,Growth Platforms,Senior Manager,49,No,Male,23,82159788,Assigned,Sales Execution,Accenture Technology,1,Above,86.67,0.657142857,1,1,1,1,1,0,Better,1,1,1,5.533333333,5,0,0,4.5,5,1.6,2.9,0,0,5.533333333,4.933333333,3.333333333,4.291666667,0.166666667,1.791666667,3,2.5,0,0,3.166666667,4.258333333,1.769518717,1.165048544,0,0,0.368421053,0.5,0,0,2,12,13,1.666666667,0,28,1.583333333,0,55,0.8,0,0,0,0,0,0,0,0,0,0,5,5,4,Better,3,2.5,Worse,Worse,0,0,0,0,0,0,NA,1,0.141098485,0,0,0.020948181,0,1,0.138409962,0,0,0,0.030016676,0,0,1,1,0,0,0,0,238.4,48above,12_24,48above,Yes,KeyTalent PA,0,Not on Leave,Client Delivery & Operations,Intelligent Platform Services,Manager,Others,-1.25,-15.3,Well positioned to market,Behind market,Continue to grow and learn,NA,NA,NA,Complete,Accenture Technology,Gen X,0,0,1.38028169,35,Overdue,0.755029057,0,27,0,0,0,NA,12/1/2016,Not on Leave,256,14,6.7,0.132108539,0.13559322
11,81879061,Unmanaged-Career break,1/3/2019,Unmanaged,81923559,1,5/31/2001,Global CIO,8/31/2018,USA,207,United States,9/1/2008,95,Corporate Functions,Senior Manager,39,No,Female,101,81923559,Assigned,Business App Delivery,Corporate Functions,2,Below,32.864,3.35,2,1,1,2,1,0,Better,2,1,1,1.166666667,0.866666667,0.166666667,0.416666667,1,0.45,0,0,0,0,1.166666667,0.866666667,1,2.825,0.166666667,2.541666667,0.833333333,0.283333333,0,0,0.833333333,2.791666667,1.166666667,0.306784661,1,0.163934426,0.571428571,0.5,0,0,2,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,Worse,3,1,Worse,Worse,0.166666667,0.083333333,0,0,1.866666667,0,NA,1,0.117424242,0,1,0,0,1,0.126436782,0,0.997013339,0,0,0,0,1,1,0,0,0,0,213,48above,60above,48above,No,NA,0,Not on Leave,Corporate Function,"CIO Program, Project & Service Mgmt",Manager,Others,-9.75,-8.32,Well positioned to market,Well positioned to market,Continue to grow and learn,NA,NA,NA,Complete,Corporate Functions,Gen X,0,0,1.098591549,33,Overdue,0.81861013,1,17,2,3,5,NA,NA,Not on Leave,299,10,0,0.099464422,0.040268456
12,81886770,Unmanaged-Travel,10/26/2018,Unmanaged,82832746,1,7/16/2002,Global CIO,5/31/2018,USA,190,United States,12/1/2017,5,Corporate Functions,Senior Manager,38,No,Male,4,82832746,Assigned,Solution Architecting,Corporate Functions,0,Below,6,0.142857143,1,1,1,1,2,15,Better,2,2,2,0.833333333,0.316666667,0,0,0.833333333,0.316666667,0,0,0,0,0.333333333,0.15,0.583333333,0.283333333,0,0,0.583333333,0.283333333,0,0,0.166666667,0.06,1.428571429,1.117647059,0,0,0.4,0.526315789,0,0,0,12,12,0,0,0,0.083333333,7,94,0,0,0,0,0,0,0,0,0,0,0,26,4,4,Same,3,12.5,Better,Better,0,0.083333333,0,0,-59994,0,NA,1,0.297297297,0,1,0,0,1,0.138392857,0,0.997013339,0,0,0,0,0,0,0,0,0,0,196,48above,0_12,48above,Yes,Promotion,0,On Leave,Corporate Function,CIO Software Engineering,Manager,Others,0,0,NA,NA,Promote,NA,NA,NA,Complete,Corporate Functions,Gen X,0,0,1.070422535,30,Overdue,0.81861013,1,16,0,0,5,NA,9/1/2012,On Leave,163,3,0,0,0
13,81899680,Unmanaged-Career break,3/15/2019,Unmanaged,81879311,1,2/8/1999,Technology Geographic Unit,10/31/2018,USA,232.4,United States,12/1/2015,34,Growth Platforms,Senior Manager,45,No,Male,32,81879311,Assigned,Testing,Accenture Technology,4,Below,4.436,0.914285714,1,1,1,2,1,0,Better,2,1,1,3,8.466666667,1,7,2,1.466666667,0.833333333,2,0.333333333,2.75,3,8.466666667,2.25,11.36666667,0.833333333,10.5,1.416666667,0.866666667,0,0,2.25,11.36666667,1.333333333,0.744868035,1.2,0.666666667,1.111111111,0.590551181,0.666666667,0.428571429,4,12,13,1.333333333,1,20,2.333333333,1,81,0.75,1,1,0.5,0,1,2,1,0.666666667,0,1,1,1,4,Worse,3,0.5,Worse,Worse,0,0,0,0,0,0,NA,3,0.134597595,0.298236237,0.509887761,0.081239979,0.110636024,4,0.097255088,0.1672346,0.715072084,0,0.063433814,0.054259502,0,1,1,0,0,0,0,238.4,48above,24_36,48above,No,NA,0,Not on Leave,Client Delivery & Operations,Intelligent Engineering Services,Manager,Others,-22.66,-24.926,Significantly behind market,Significantly behind market,Continue to grow and learn,NA,NA,NA,Complete,Accenture Technology,Gen X,0,0,1.267605634,35,Overdue,0.755029057,1,23,2,3,4,NA,5/1/2014,Not on Leave,268,8,12.5,0.132108539,0.133238838
14,81913586,Unmgd-CareerOption/Opportunity,10/12/2018,Unmanaged,82501428,1,4/5/2004,Technology Geographic Unit,5/31/2018,USA,165.1,United States,5/1/2014,48,Growth Platforms,Manager,37,No,Female,49,82501428,Assigned,Service Mobilization,Accenture Technology,2,Below,29,1.633333333,1,1,1,1,1,0,Better,1,1,3,1.666666667,21.83333333,0.333333333,17.33333333,1.333333333,0.5,0.333333333,17.33333333,0,0,1.666666667,21.83333333,2,14.92723485,0.825,11.30833333,1.166666667,0.558333333,0,0,1.833333333,14.38977273,0.833333333,1.214649977,0.4,1.224880383,1.2,1.613740458,1,1.625,4,12,13,0.5,4,6,0.583333333,4,17,-19998,2,3,0.666666667,0.666666667,0.333333333,2,4,0.5,0.5,0.5,1,1,4,Worse,2,0.5,Worse,Worse,0,0,0,0,0,0,NA,4,0.253302863,0,0.963060686,0.036939314,0,5,0.179952267,0,0.974388824,0,0.025611176,0,0,1,1,0,0,0,0,171.1,48above,48_60,48above,No,NA,0,On Leave,Client Delivery & Operations,AO Contract Based,Manager,Others,-20.93,-16.29,Significantly behind market,Significantly behind market,Continue to grow and learn,X,NA,NA,Complete,Accenture Technology,Gen Y,0,0,1.174603175,30,Overdue,0.778118609,0,15,0,0,1,NA,12/1/2015,On Leave,215,9,11.1,0.133800689,0.153846154
15,81925421,Do Not Use(Umgd-NoRetrnWrkLOA),9/5/2018,Unmanaged,82364894,1,7/21/1997,Legal,4/30/2018,USA,232.4,United States,12/1/2016,16,Corporate Functions,Senior Manager,53,No,Female,9,82364894,Assigned,Legal Services,Corporate Functions,0,Above,88.707,0.321428571,1,1,1,1,1,0,Better,2,1,2,1.166666667,0.5,0.166666667,0.25,1,0.25,0,0,0,0,0.833333333,0.433333333,1.083333333,0.816666667,0.083333333,0.125,0.916666667,0.525,0.083333333,0.166666667,0.833333333,0.716666667,1.076923077,0.612244898,2,2,0.857142857,0.6,0,0,1,12,13,0,0,0,0.333333333,7,9,0,0,0,0,0,0,0,0,0,0,0,12,12,3,Better,3,6,Worse,Worse,0,0.083333333,0,0,-119988,0,NA,1,0.029526635,0,0,0,0,1,0.145703612,0,0,0,0.196793003,0,0,1,1,0,0,0,0,238.4,48above,0_12,48above,No,NA,0,On Leave,Corporate Function,Operations,Manager,Others,0,0,NA,NA,N/A,X,NA,NA,Complete,Corporate Functions,Gen X,0,0,1.492957746,28,Overdue,0.81861013,1,31,0,0,5,NA,12/1/2016,On Leave,208,11,0,0.103875969,0.146341463
16,81929131,Do Not Use(Umgd-Perso reasons),9/13/2018,Unmanaged,81828754,1,9/21/2000,CMT North America OU,4/30/2018,USA,211,United States,12/1/2017,4,NA,Senior Manager,40,No,Male,4,81862513.4,Assigned,Network Implementation,"Communications, Media & Technology",0,Above,87,0.142857143,1,1,1,1,1,9,Better,1,2,2,1.333333333,5.216666667,0.333333333,4.916666667,1,0.3,0,0,0,0,1,5.15,1.5,6.691666667,0.666666667,6.25,0.833333333,0.441666667,0,0,1.25,6.575,0.888888889,0.779576588,0.5,0.786666667,1,0.089456869,0,0,4,12,13,2.5,0,30,2,0,50,0.933333333,0,1,0,0,1,0,1,0,0,1,9,0,6,No Hike,6,4.5,Better,Better,0,0,0,0,0,0,NA,2,0.180232558,0.312056738,0.687943262,0,0,2,0.150383142,0.294250282,0.683201804,0,0.022547914,0,0,1,1,0,0,0,0,217,48above,0_12,48above,Yes,Promotion,0,Not on Leave,Innovation & Thought Leadership,CMT NA Mgt,Manager,Others,10.49,15.02,Above market,Above market,Promote,X,NA,NA,Complete,OG,Gen X,0,0,1.126760563,28,Overdue,0.81861013,0,18,0,0,0,NA,12/1/2016,Not on Leave,262,5,0,0.12835249,0.08
17,81945768,Unmanaged-Travel,9/14/2018,Unmanaged,81879311,1,2/13/2004,Technology Geographic Unit,4/30/2018,USA,165.1,United States,3/1/2013,61,Growth Platforms,Manager,52,No,Male,62,81947991.45,Assigned,Testing,Accenture Technology,4,Below,16,2.214285714,1,1,2,1,1,0,Better,1,1,3,1.333333333,9.316666667,0.333333333,8.666666667,1,0.65,0.333333333,4.166666667,0,0,1.333333333,9.316666667,1.25,5.858333333,0.333333333,5.166666667,0.916666667,0.691666667,0,0,1,5.741666667,1.066666667,1.590327169,1,1.677419355,1,0.096601073,0,0,4,12,13,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,1,3,Worse,2,0.5,Worse,Worse,0,0,0,0,0,0,NA,2,0.147286822,0,1,0,0,3,0.107279694,0,1,0,0,0,1,0,1,0,0,0,0,171.1,48above,60above,48above,No,NA,0,Not on Leave,Client Delivery & Operations,Platform,Manager,Others,-23.88,-25.31,Significantly behind market,Significantly behind market,Continue to grow and learn,NA,NA,NA,Complete,Accenture Technology,Gen X,0,0,1.650793651,28,Overdue,0.781153977,0,30,0,0,0,NA,6/1/2015,Not on Leave,262,8,0,0.127255116,0.128777924
18,81959761,Voluntary,2/1/2019,Unmanaged,82013573,1,8/25/1997,Delivery,9/30/2018,USA,232.4,United States,1/1/1900,0,Growth Platforms,Senior Manager,61.2,No,Male,101,82013573,Assigned,Customer Service Delivery,Accenture Operations,7,Above,73.523,3.35,1,1,1,1,1,2,Better,1,1,2,3,7.533333333,0.5,5.333333333,2.5,2.2,0.833333333,0.75,0,0,3,7.533333333,2.666666667,4.466666667,0.333333333,2.791666667,2.333333333,1.675,0,0,2.5,4.383333333,1.125,1.686567164,1.5,1.910447761,0.333333333,0.079646018,0,0,4,12,13,0.166666667,3,3,0.333333333,3,9,-29997,0,0,0,0,0,0,0,0,0,0,0,2,2,Same,5,0,NA,Worse,0,0.083333333,0,0,-119988,0,NA,2,0.102564103,0,1,0,0,2,0.140703518,0,0.995614035,0,0.004385965,0,1,0,1,0,0,0,0,238.4,48above,60above,48above,No,NA,0,Not on Leave,Client Delivery & Operations,Operations Shared Services & Tech,Manager,Others,0,0,NA,NA,Continue to grow and learn,NA,NA,NA,Complete,Accenture Operations,Baby Boomers,0,0,1.723943662,34,Overdue,0.624691358,1,39.2,1,3,5,NA,9/1/2012,Not on Leave,128,6,0,0.139268159,0.171428571
19,81967475,Unmanaged-Travel,12/7/2018,Unmanaged,84157253,1,7/8/2015,Technology Geographic Unit,7/31/2018,USA,36,United States,9/1/2007,78.95,Growth Platforms,Manager,41,Yes,Female,65,84157253,Assigned,Software as a Service,Accenture Technology,2,Above,83.416,2.166666667,1,1,1,1,1,0,Better,1,1,2,3.333333333,5.783333333,0.5,4,2.833333333,1.783333333,1.166666667,1.316666667,0,0,3.333333333,5.783333333,2.25,4.266666667,0.583333333,3,1.666666667,1.266666667,0,0,2.25,4.266666667,1.481481481,1.35546875,0.857142857,1.333333333,1.6,1.942363112,2,2,4,12,13,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,4,No Hike,3,0,Worse,Same,0.166666667,0.083333333,0,0,0.666666667,0,Below,2,0.209302326,0,0.990196078,0.009803922,0,3,0.131888837,0.042864894,0.95170917,0,0.005425936,0,0,1,1,1,47.5,20,63.7,42,24_48,60above,24_48,No,NA,0,Not on Leave,Client Delivery & Operations,Platform,Manager,Others,-6.69,0.48,Well positioned to market,Well positioned to market,Continue to grow and learn,X,NA,X,Complete,Accenture Technology,Gen X,4.8,5250,1.301587302,30,Overdue,0.779859485,2,19,1,2,3,Promo_ready_not_promoted,NA,Not on Leave,148,8,0,0.138692739,0.247035573
